Date,open,high,low,close,volume,mom_30d,mom_60d,mom_90d,mom_180d,log_return,sigma_30,sigma_90,adv_dec_ratio,pct_above_50dma,pct_pos_momentum,regime
2021-01-01,13996.099609375,14049.849609375,13991.349609375,14018.5,358100,0.08349274438196819,0.20202527185303865,0.22256668465108587,,0.002624978069994666,0.14470758391734734,0.16066392674608107,2.338155902207627,98.77551020408164,92.65306122448979,Bull
2021-01-04,14104.349609375,14147.9501953125,13953.75,14132.900390625,495000,0.1065794040336221,0.20394253789042827,0.23192053787400035,,0.008127554493474463,0.13764960665320158,0.16093791145213937,1.7051888692405939,97.95918367346938,93.46938775510205,Bull
2021-01-05,14075.150390625,14215.599609375,14048.150390625,14199.5,492500,0.10424177646655242,0.19982935364806087,0.22943655886339398,,0.00470131235786493,0.13732640861079884,0.1608169806547359,1.7441809116809117,97.55102040816325,94.28571428571429,Bull
2021-01-06,14240.9501953125,14244.150390625,14039.900390625,14146.25,632300,0.09436463888050528,0.18734365447087864,0.22380344745550107,,-0.0037571814216639365,0.13869560193115865,0.1611183384541276,1.4828475783475787,96.73469387755101,94.6938775510204,Bull
2021-01-07,14253.75,14256.25,14123.099609375,14137.349609375,559200,0.08289442759136167,0.1849307371117317,0.2137564891907886,,-0.0006293676223474675,0.13749643896776,0.16093074757316372,1.545971571906355,95.91836734693877,94.28571428571428,Bull
2021-01-08,14258.400390625,14367.2998046875,14221.650390625,14347.25,613500,0.11578808904259308,0.20216598935858232,0.2599121844127332,,0.014738082534464191,0.13095450397511285,0.15675093176107063,2.1584715719063547,95.51020408163264,95.51020408163265,Bull
2021-01-11,14474.0498046875,14498.2001953125,14383.099609375,14484.75,672900,0.11532686532686531,0.20998160030444546,0.26281031363745333,,0.00953808562855032,0.13078705375508398,0.15699185283058673,2.007510033444816,95.91836734693877,95.10204081632654,Bull
2021-01-12,14473.7998046875,14590.650390625,14432.849609375,14563.4501953125,929600,0.12294749968091612,0.24683341529635694,0.2625444469278284,,0.0054186068221036155,0.12999843322095803,0.1569807164892886,2.0389202898550725,96.3265306122449,95.10204081632652,Bull
2021-01-13,14639.7998046875,14653.349609375,14435.7001953125,14564.849609375,874000,0.11105303789195609,0.23824963060666526,0.2634927379948795,,9.608621670051523e-05,0.128759205278596,0.15694179326725838,2.038920289855073,96.73469387755101,95.10204081632654,Bull
2021-01-14,14550.0498046875,14617.7998046875,14471.5,14595.599609375,620200,0.11299968425316931,0.22930501004153392,0.2877883607439069,,0.002109021789565324,0.1284865216540642,0.15342537577408022,2.0048333333333335,97.55102040816325,96.73469387755101,Bull
